Time X Y Z ID Radius
2.6 -6.19182e-07 2.04533e-06 -1.34573e-07 2 1.1e-06
2.65 4.16351e-07 3.9008e-06 -8.81383e-08 0 1e-06
2.65 -1.46871e-06 3.7207e-06 -5.58733e-07 1 1e-07
2.65 -6.05198e-07 2.06992e-06 -1.40649e-07 2 1.1e-06
2.7 4.96924e-07 4.02301e-06 -1.0908e-07 0 1e-06
2.7 -1.44864e-06 3.73301e-06 -5.74321e-07 1 1e-07
2.7 -5.82826e-07 2.09753e-06 -1.52365e-07 2 1.1e-06
2.75 5.60349e-07 4.05867e-06 -1.08473e-07 0 1e-06
2.75 -1.42078e-06 3.75756e-06 -5.93327e-07 1 1e-07
2.75 -5.6377e-07 2.12734e-06 -1.43818e-07 2 1.1e-06
2.8 4.9545e-07 3.98115e-06 -9.79125e-08 0 1e-06
2.8 -1.40114e-06 3.81191e-06 -6.40557e-07 1 1e-07
2.8 -5.34514e-07 2.14868e-06 -1.40491e-07 2 1.1e-06
2.85 5.08203e-07 4.00226e-06 -9.70946e-08 0 1e-06
2.85 -1.40229e-06 3.87311e-06 -6.847e-07 1 1e-07
2.85 -4.96302e-07 2.16382e-06 -1.33484e-07 2 1.1e-06
2.9 5.84428e-07 4.06918e-06 -8.49417e-08 0 1e-06
2.9 -1.40495e-06 3.93285e-06 -7.06621e-07 1 1e-07
2.9 -4.61569e-07 2.18744e-06 -1.33191e-07 2 1.1e-06
2.95 5.33944e-07 4.04997e-06 -3.45737e-08 0 1e-06
2.95 -1.39538e-06 3.97271e-06 -7.2052e-07 1 1e-07
2.95 -4.30321e-07 2.21015e-06 -1.29286e-07 2 1.1e-06
3 6.05258e-07 4.13942e-06 -3.07322e-08 0 1e-06
3 -1.38084e-06 3.98292e-06 -7.27638e-07 1 1e-07
3 -4.03381e-07 2.23147e-06 -1.12573e-07 2 1.1e-06
3.05 5.83496e-07 4.14125e-06 -1.58534e-08 0 1e-06
3.05 -1.34e-06 3.96891e-06 -7.25409e-07 1 1e-07
3.05 -3.881e-07 2.2502e-06 -1.099e-07 2 1.1e-06
3.1 5.87994e-07 4.06059e-06 -2.91058e-08 0 1e-06
3.1 -1.26788e-06 3.9483e-06 -7.05164e-07 1 1e-07
3.1 -3.90081e-07 2.249e-06 -1.09908e-07 2 1.1e-06
3.15 6.53289e-07 4.1548e-06 -4.78606e-09 0 1e-06
3.15 -1.20877e-06 3.9338e-06 -6.84176e-07 1 1e-07
3.15 -3.81704e-07 2.24946e-06 -1.17208e-07 2 1.1e-06
3.2 6.15774e-07 4.15002e-06 -1.62783e-08 0 1e-06
3.2 -1.17004e-06 3.93508e-06 -6.87219e-07 1 1e-07
3.2 -3.75545e-07 2.26361e-06 -1.14521e-07 2 1.1e-06
3.25 5.84932e-07 4.12353e-06 -4.30009e-08 0 1e-06
3.25 -1.1468e-06 3.93953e-06 -7.13908e-07 1 1e-07
3.25 -3.77455e-07 2.25178e-06 -1.1025e-07 2 1.1e-06
3.3 6.31949e-07 4.13553e-06 -3.21915e-08 0 1e-06
3.3 -1.16692e-06 3.94859e-06 -7.70564e-07 1 1e-07
3.3 -3.78582e-07 2.24087e-06 -1.02246e-07 2 1.1e-06
3.35 6.26406e-07 4.13846e-06 -6.59183e-08 0 1e-06
3.35 -1.19816e-06 3.94761e-06 -8.25638e-07 1 1e-07
3.35 -3.91e-07 2.23665e-06 -9.66639e-08 2 1.1e-06
3.4 5.94397e-07 4.17924e-06 -6.73976e-08 0 1e-06
3.4 -1.23589e-06 3.94298e-06 -8.56221e-07 1 1e-07
3.4 -3.94154e-07 2.23816e-06 -1.08183e-07 2 1.1e-06
3.45 5.67538e-07 4.17567e-06 -4.00167e-09 0 1e-06
3.45 -1.24779e-06 3.93689e-06 -8.86454e-07 1 1e-07
3.45 -3.85847e-07 2.24859e-06 -1.11972e-07 2 1.1e-06
3.5 4.83376e-07 4.23557e-06 -1.62921e-08 0 1e-06
3.5 -1.24281e-06 3.93848e-06 -9.16527e-07 1 1e-07
3.5 -3.76628e-07 2.26431e-06 -1.13746e-07 2 1.1e-06
3.55 4.71985e-07 4.21907e-06 -5.33986e-08 0 1e-06
3.55 -1.25621e-06 3.92366e-06 -9.22424e-07 1 1e-07
3.55 -3.60407e-07 2.288e-06 -1.15941e-07 2 1.1e-06
3.6 4.79618e-07 4.20485e-06 -3.87252e-08 0 1e-06
3.6 -1.27199e-06 3.90298e-06 -9.6292e-07 1 1e-07
3.6 -3.565e-07 2.29105e-06 -1.21603e-07 2 1.1e-06
3.65 4.9055e-07 4.27736e-06 -7.16724e-08 0 1e-06
3.65 -1.29476e-06 3.90208e-06 -9.95434e-07 1 1e-07
3.65 -3.47436e-07 2.29154e-06 -1.34863e-07 2 1.1e-06
3.7 4.78246e-07 4.24421e-06 -6.5986e-08 0 1e-06
3.7 -1.30236e-06 3.88518e-06 -1.01062e-06 1 1e-07
3.7 -3.30393e-07 2.31115e-06 -1.56328e-07 2 1.1e-06
3.75 5.35686e-07 4.32601e-06 -1.0166e-07 0 1e-06
3.75 -1.2874e-06 3.86648e-06 -1.01399e-06 1 1e-07
3.75 -3.21892e-07 2.33323e-06 -1.71838e-07 2 1.1e-06
3.8 5.01307e-07 4.36662e-06 -4.59818e-08 0 1e-06
3.8 -1.25836e-06 3.87159e-06 -9.99106e-07 1 1e-07
3.8 -3.01036e-07 2.35693e-06 -1.73803e-07 2 1.1e-06
3.85 4.97109e-07 4.3517e-06 -7.25346e-08 0 1e-06
3.85 -1.23448e-06 3.86355e-06 -9.85183e-07 1 1e-07
3.85 -2.86174e-07 2.37618e-06 -1.65352e-07 2 1.1e-06
3.9 5.79957e-07 4.30326e-06 -3.11671e-08 0 1e-06
3.9 -1.22273e-06 3.86494e-06 -9.68025e-07 1 1e-07
3.9 -2.75236e-07 2.39443e-06 -1.51396e-07 2 1.1e-06
3.95 6.23054e-07 4.42943e-06 -9.11441e-08 0 1e-06
3.95 -1.20664e-06 3.87727e-06 -9.59633e-07 1 1e-07
