Time X Y Z ID Radius Species
1.45 7.42036e-08 -1.1173e-05 -2.92725e-06 5 1e-06 0
1.45 -8.3031e-07 6.02216e-06 -4.80942e-06 6 1e-06 0
1.45 -7.37431e-07 3.58327e-06 -4.74386e-06 7 1e-06 0
1.5 -7.69486e-07 -7.50582e-06 -3.42916e-06 0 1e-06 0
1.5 -1.66098e-06 -8.96524e-06 -2.13131e-06 1 1e-06 0
1.5 -2.56405e-06 -1.11077e-05 -2.27735e-06 2 1e-06 0
1.5 -3.56593e-06 -1.12813e-05 -4.35257e-06 3 1e-06 0
1.5 -1.22911e-06 -1.0862e-05 -4.57699e-06 4 1e-06 0
1.5 9.20134e-08 -1.1177e-05 -2.93223e-06 5 1e-06 0
1.5 -8.32817e-07 6.0978e-06 -4.81645e-06 6 1e-06 0
1.5 -7.34513e-07 3.52678e-06 -4.73191e-06 7 1e-06 0
1.55 -7.70251e-07 -7.49531e-06 -3.43281e-06 0 1e-06 0
1.55 -1.63607e-06 -8.96319e-06 -2.12261e-06 1 1e-06 0
1.55 -2.61227e-06 -1.11111e-05 -2.26045e-06 2 1e-06 0
1.55 -3.50517e-06 -1.12877e-05 -4.3444e-06 3 1e-06 0
1.55 -1.28679e-06 -1.08546e-05 -4.61437e-06 4 1e-06 0
1.55 1.04225e-07 -1.11824e-05 -2.93835e-06 5 1e-06 0
1.55 -8.34845e-07 6.14715e-06 -4.8231e-06 6 1e-06 0
1.55 -7.28336e-07 3.49036e-06 -4.7181e-06 7 1e-06 0
1.6 -7.70432e-07 -7.48867e-06 -3.43341e-06 0 1e-06 0
1.6 -1.60818e-06 -8.97155e-06 -2.11839e-06 1 1e-06 0
1.6 -2.65018e-06 -1.11128e-05 -2.2532e-06 2 1e-06 0
1.6 -3.44004e-06 -1.12952e-05 -4.33415e-06 3 1e-06 0
1.6 -1.34084e-06 -1.08522e-05 -4.64743e-06 4 1e-06 0
1.6 1.11983e-07 -1.11908e-05 -2.94449e-06 5 1e-06 0
1.6 -8.35623e-07 6.17577e-06 -4.83329e-06 6 1e-06 0
